dataroot: acds/benchmarks/raw/, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.009, rc: 0.5, reset: 0.0, bias: 0.5, perc: 0.5, train: ['0.19'] test: ['0.19']mean/std train: (np.float64(0.18561521172523499), np.float64(0.0)) mean/std test: (np.float64(0.18525433540344238), np.float64(0.0))
dataroot: acds/benchmarks/raw/, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.009, rc: 0.5, reset: 0.0, bias: 0.0, perc: 0.5, train: ['0.19'] test: ['0.19']mean/std train: (np.float64(0.18561521172523499), np.float64(0.0)) mean/std test: (np.float64(0.18525433540344238), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 1, rc: 5.0, reset: 0.01, bias: 0.0, perc: 0.5, train: ['0.19'] test: ['0.19']mean/std train: (np.float64(0.18561521172523499), np.float64(0.0)) mean/std test: (np.float64(0.18525433540344238), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 1, rc: 5.0, reset: 0.01, bias: 0.0, perc: 0.5, train: ['0.19'] test: ['0.19']mean/std train: (np.float64(0.18561521172523499), np.float64(0.0)) mean/std test: (np.float64(0.18525433540344238), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 1, rc: 5.0, reset: 0.01, bias: 0.0, perc: 0.5, train: ['0.19'] test: ['0.19']mean/std train: (np.float64(0.18561521172523499), np.float64(0.0)) mean/std test: (np.float64(0.18525433540344238), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.5, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.008, rc: 7.0, reset: 0.0, bias: 0.0, perc: 0.5, train: ['0.19'] test: ['0.19']mean/std train: (np.float64(0.18561521172523499), np.float64(0.0)) mean/std test: (np.float64(0.18525433540344238), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.008, rc: 0.8, reset: 0.0, bias: 0.001, perc: 0.5, train: ['0.19'] test: ['0.19']mean/std train: (np.float64(0.18561521172523499), np.float64(0.0)) mean/std test: (np.float64(0.18525433540344238), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: -1.0, rc: 0.8, reset: 0.0, bias: 0.001, perc: 0.5, train: ['0.19'] test: ['0.19']mean/std train: (np.float64(0.18561521172523499), np.float64(0.0)) mean/std test: (np.float64(0.18525433540344238), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: -0.5, rc: 0.8, reset: 0.0, bias: 0.001, perc: 0.5, train: ['0.19'] test: ['0.19']mean/std train: (np.float64(0.18561521172523499), np.float64(0.0)) mean/std test: (np.float64(0.18525433540344238), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: -0.008, rc: 0.8, reset: 0.0, bias: 0.001, perc: 0.5, train: ['0.19'] test: ['0.19']mean/std train: (np.float64(0.18561521172523499), np.float64(0.0)) mean/std test: (np.float64(0.18525433540344238), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 1.0, rc: 0.8, reset: -1.0, bias: 0.001, perc: 0.5, train: ['0.19'] test: ['0.19']mean/std train: (np.float64(0.18561521172523499), np.float64(0.0)) mean/std test: (np.float64(0.18525433540344238), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 1.0, rc: 0.8, reset: -1.0, bias: 0.001, perc: 0.5, train: ['0.0'] test: ['0.0']mean/std train: (np.float64(1.5863683074712753e-05), np.float64(0.0)) mean/std test: (np.float64(2.3123397113522515e-05), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 1.0, rc: 0.8, reset: -1.0, bias: 0.001, perc: 0.5, train: ['0.0'] test: ['0.0']mean/std train: (np.float64(1.430198517482495e-05), np.float64(0.0)) mean/std test: (np.float64(2.0713850972242653e-05), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 1, rc: 5.0, reset: 0.01, bias: 0.0, perc: 0.5, train: ['0.0'] test: ['0.0']mean/std train: (np.float64(3.555163857527077e-05), np.float64(0.0)) mean/std test: (np.float64(5.3514995670411736e-05), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 1, rc: 5.0, reset: 0.01, bias: 0.0, perc: 0.5, train: ['4e-05'] test: ['5e-05']mean/std train: (np.float64(3.555177681846544e-05), np.float64(0.0)) mean/std test: (np.float64(5.3514344472205266e-05), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 1, rc: 5.0, reset: 0.01, bias: 0.0, perc: 0.5, train: ['4e-05'] test: ['5e-05']mean/std train: (np.float64(3.555160583346151e-05), np.float64(0.0)) mean/std test: (np.float64(5.35142062290106e-05), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.008, rc: 0.5, reset: 0.001, bias: 0.01, perc: 0.5, train: ['0.0'] test: ['0.0']mean/std train: (np.float64(1.7420573783510918e-07), np.float64(0.0)) mean/std test: (np.float64(1.5284367691492662e-06), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.008, rc: 0.5, reset: 0.001, bias: 0.01, perc: 0.5, train: ['0.0'] test: ['0.0']mean/std train: (np.float64(4.4390696984919487e-07), np.float64(0.0)) mean/std test: (np.float64(1.1944990774281905e-06), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.005, rc: 5.0, reset: 0.0, bias: 0.5, perc: 0.5, train: ['0.0'] test: ['0.0']mean/std train: (np.float64(2.5141216042356973e-07), np.float64(0.0)) mean/std test: (np.float64(1.6218072005358408e-06), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.005, rc: 7.0, reset: -0.5, bias: 0.09, perc: 0.5, train: ['0.0'] test: ['0.0']mean/std train: (np.float64(2.960822769182414e-07), np.float64(0.0)) mean/std test: (np.float64(1.6715825950086582e-06), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.005, rc: 7.0, reset: -0.5, bias: 0.09, perc: 0.5, train: ['0.0'] test: ['0.0']mean/std train: (np.float64(3.5088962135887414e-07), np.float64(0.0)) mean/std test: (np.float64(1.7194896599903586e-06), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.005, rc: 2.0, reset: -1.0, bias: 0.0, perc: 0.5, train: ['4e-05'] test: ['5e-05']mean/std train: (np.float64(3.555136936483905e-05), np.float64(0.0)) mean/std test: (np.float64(5.3514570026891306e-05), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.01, rc: 2.0, reset: -1.0, bias: 0.0, perc: 0.5, train: ['4e-05'] test: ['5e-05']mean/std train: (np.float64(3.5551824112189934e-05), np.float64(0.0)) mean/std test: (np.float64(5.3514922910835594e-05), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.01, rc: 2.0, reset: -1.0, bias: 0.0, perc: 0.5, train: ['4e-05'] test: ['5e-05']mean/std train: (np.float64(3.5551736800698563e-05), np.float64(0.0)) mean/std test: (np.float64(5.3514959290623665e-05), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.01, rc: 2.0, reset: -1.0, bias: 0.0, perc: 0.5, train: ['0.02629'] test: ['0.02625']mean/std train: (np.float64(0.026293668895959854), np.float64(0.0)) mean/std test: (np.float64(0.02625187486410141), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.01, rc: 2.0, reset: -1.0, bias: 0.01, perc: 0.5, train: ['0.02629'] test: ['0.02625']mean/std train: (np.float64(0.026293674483895302), np.float64(0.0)) mean/std test: (np.float64(0.026251880452036858), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.5, rc: 2.0, reset: 0.001, bias: 0.01, perc: 0.5, train: ['0.02629'] test: ['0.02625']mean/std train: (np.float64(0.0262936819344759), np.float64(0.0)) mean/std test: (np.float64(0.026251886039972305), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.5, rc: 2.0, reset: 0.001, bias: 0.01, perc: 0.5, train: ['0.02629'] test: ['0.02625']mean/std train: (np.float64(0.026293667033314705), np.float64(0.0)) mean/std test: (np.float64(0.02625187300145626), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.5, rc: 2.0, reset: 0.001, bias: 0.01, perc: 0.5, train: ['0.02629'] test: ['0.02625']mean/std train: (np.float64(0.0262936782091856), np.float64(0.0)) mean/std test: (np.float64(0.026251884177327156), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.5, rc: 2.0, reset: 0.001, bias: 0.01, perc: 0.5, train: ['0.02629'] test: ['0.02625']mean/std train: (np.float64(0.02629367634654045), np.float64(0.0)) mean/std test: (np.float64(0.026251882314682007), np.float64(0.0))
dataroot: acds/benchmarks/raw, resultroot: spiking_arch/results/baseline, resultsuffix: , n_hid: 256, batch: 128, lag: 1, dt: 0.042, gamma: 2.7, epsilon: 4.7, gamma_range: 2.7, epsilon_range: 4.7, cpu: False, esn: False, ron: False, pron: False, mspron: False, sron: False, liquidron: True, mixron: False, inp_scaling: 1.0, rho: 0.99, leaky: 1.0, use_test: False, trials: 1, topology: full, sparsity: 0.0, reservoir_scaler: 1.0, threshold: 0.5, rc: 2.0, reset: 0.001, bias: 0.01, perc: 0.5, train: ['0.0'] test: ['0.0']mean/std train: (np.float64(2.3142958127664315e-07), np.float64(0.0)) mean/std test: (np.float64(1.408624711984885e-06), np.float64(0.0))
